spSpec-53237-1886-248.fit,19.1608963013
spSpec-53239-1888-343.fit,369.641998291
spSpec-53239-1908-105.fit,28.2490081787
spSpec-53239-1908-479.fit,40.4169921875
spSpec-53260-1898-305.fit,38.3869934082
spSpec-53262-1880-148.fit,22.9029998779
spSpec-53269-1916-101.fit,32.3690032959
spSpec-53269-1916-424.fit,162.550704956
spSpec-53327-2038-143.fit,16.1430053711
spSpec-53327-2046-073.fit,18.6310119629
spSpec-53378-2048-204.fit,30.6850280762
spSpec-53387-2041-187.fit,16.5220031738
spSpec-53387-2041-562.fit,22.3339996338
spSpec-53401-2052-228.fit,19.2989959717
spSpec-53401-2052-434.fit,51.800994873
spSpec-53401-2052-458.fit,27.1470031738
spSpec-53401-2052-591.fit,15.7440013885
spSpec-53430-2072-102.fit,17.1989808083
spSpec-53430-2072-109.fit,22.8542408943
spSpec-53430-2072-596.fit,16.6362702847
spSpec-53446-2053-414.fit,35.6310119629
spSpec-53524-2181-231.fit,21.1831970215
spSpec-53555-2179-142.fit,20.7520141602
spSpec-53558-2248-411.fit,20.5209960938
spSpec-53566-2249-554.fit,21.5839996338
spSpec-53709-2312-164.fit,20.4182014465
spSpec-53710-2307-173.fit,15.0379943848
spSpec-53710-2307-221.fit,23.0760040283
spSpec-53712-2314-025.fit,25.5100097656
spSpec-53713-2314-025.fit,28.2690124512
spSpec-53729-2055-403.fit,20.7319946289
spSpec-53738-2051-567.fit,26.5565986633
spSpec-53741-2071-523.fit,16.9897203445
spSpec-53741-2071-530.fit,18.4143104553
spSpec-53741-2071-562.fit,16.008020401
spSpec-53741-2071-570.fit,19.1044006348
spSpec-53741-2071-574.fit,21.8394002914
spSpec-53741-2071-579.fit,15.4251704216
spSpec-53741-2071-607.fit,16.1179504395
spSpec-53757-2316-529.fit,19.1350021362
spSpec-53763-2397-274.fit,514.496017456
spSpec-53764-2404-414.fit,25.7380018234
spSpec-53770-2387-569.fit,22.9940032959
spSpec-53800-2383-544.fit,50.8669891357
spSpec-53816-2057-076.fit,32.6269836426
spSpec-53905-2182-603.fit,15.6459960938
spSpec-54065-2441-032.fit,17.5370178223
spSpec-54065-2441-406.fit,28.0
spSpec-54086-2669-112.fit,23.075012207
spSpec-54110-2540-008.fit,53.1099853516
spSpec-54110-2540-232.fit,52.8150024414
