@RELATION STAR-B-BE

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {b,be}


@DATA
0.09399986,0.11800003,0.2119999,b
-0.043999672,0.013999939,-0.029999733,b
-0.046000004,0.0,-0.046000004,b
-0.07899952,-0.022000313,-0.10099983,b
-0.2019999,-0.10700011,-0.30900002,b
-0.1409998,0.007999897,-0.1329999,b
-0.08199978,-0.011000156,-0.092999935,b
-0.06000042,0.006000519,-0.0539999,b
-0.04300022,0.0040006638,-0.038999557,b
0.0020003319,-0.017000198,-0.0149998665,b
0.02699995,0.059999943,0.08699989,b
-0.09399986,-0.032000065,-0.12599993,b
-0.108000755,0.07500076,-0.032999992,b
-0.17000008,-0.041999817,-0.2119999,b
-0.015999794,0.019999504,0.00399971,b
0.10299969,0.069999695,0.17299938,b
-0.07400036,0.012000084,-0.062000275,b
0.045000076,0.069999695,0.11499977,b
-0.013000011,0.06800032,0.055000305,b
-0.048999786,-0.0089998245,-0.05799961,b
-0.03399992,0.016999722,-0.017000198,b
-0.035000324,0.0630002,0.027999878,b
-0.09100008,-0.046000004,-0.13700008,b
-0.09000015,-0.0089998245,-0.09899998,b
-0.10500002,0.006000042,-0.09899998,b
0.59399986,0.04300022,0.6370001,b
-0.078999996,0.011000156,-0.06799984,b
0.013999939,0.020000458,0.034000397,b
-0.06799984,0.00399971,-0.06400013,b
0.22200012,0.13999987,0.362,b
-0.052000046,-0.024000168,-0.07600021,b
0.032000065,0.08300018,0.11500025,b
-0.06899929,-0.011000633,-0.07999992,b
-0.03099966,0.017999649,-0.013000011,b
0.052000046,0.042999744,0.09499979,b
-0.08699989,-0.022000313,-0.109000206,b
0.059000015,-0.06699991,-0.007999897,b
-0.103000164,0.07000017,-0.032999992,b
-0.09400034,0.018000126,-0.07600021,b
-0.07799959,-0.039000034,-0.116999626,b
-0.043999672,-0.0010004044,-0.045000076,b
-0.031999588,-0.006000519,-0.038000107,b
-0.0630002,-0.043999672,-0.106999874,b
-0.11400032,-0.013000011,-0.12700033,b
-0.069999695,0.07199955,0.001999855,b
-0.15999985,0.025000095,-0.13499975,b
-0.15400028,0.042000294,-0.11199999,b
-0.24000072,0.13000011,-0.11000061,b
-0.09000015,-0.08199978,-0.17199993,b
-0.07200003,-0.025000095,-0.09700012,b
-0.11400032,-0.02699995,-0.14100027,b
-0.07300043,0.009000301,-0.06400013,b
-0.0539999,-0.062999725,-0.116999626,b
-0.0010004044,-0.012999535,-0.013999939,b
-0.0539999,-0.0030002594,-0.05700016,b
-0.06500006,0.0089998245,-0.056000233,b
-0.024000168,0.0040006638,-0.019999504,b
0.11800003,0.1409998,0.25899982,b
-0.106999874,0.089000225,-0.017999649,b
0.4499998,0.14699984,0.59699965,b
-0.06500006,0.012000084,-0.052999973,b
-0.13400078,0.007000923,-0.12699986,b
-0.083999634,-0.0069999695,-0.0909996,b
-0.0909996,-0.042000294,-0.1329999,b
