# col1    HIP     RA               DE               RARad          DERad          
  18505   18505   59.3559813093    63.0722492127    1.0359573046   1.1008184154   
  19008   19008   61.0901681664    53.3290505351    1.0662245751   0.9307675188   
  19343   19343   62.165305501     47.712593618     1.0849892615   0.8327418533   
  19529   19529   62.7641449628    16.6469789965    1.0954409818   0.290544594    
  19647   19647   63.1519338223    42.1184423833    1.1022091742   0.7351054954   
  19991   19991   64.3181974127    46.2305567834    1.1225643138   0.8068754309   
  20245   20245   65.0698723752    42.3144053053    1.1356835168   0.7385256936   
  20922   20922   67.2788555431    -13.0483673003   1.1742375462   -0.2277369714  
  21127   21127   67.9241422526    53.8127826155    1.1854999239   0.9392102363   
  21605   21605   69.5673860111    -24.6585644289   1.2141799379   -0.4303731381  
  21626   21626   69.6510022628    8.1751928203     1.2156393168   0.1426840317   
  21667   21667   69.7703729316    41.2500079671    1.217722728    0.7199484555   
  21700   21700   69.8874641164    43.6592034729    1.2197663547   0.7619968494   
  22024   22024   71.0221583053    -8.5035739778    1.2395705043   -0.1484153641  
  22034   22034   71.0542137641    40.7865108825    1.2401299776   0.7118589053   
  22331   22331   72.1435038954    48.5444086285    1.2591416769   0.847259764    
  23201   23201   74.898441283     25.8074997245    1.307224405    0.4504258419   
  23436   23436   75.5662206654    24.029170417     1.3188793539   0.4193881403   
  23624   23624   76.1839857024    44.9586250505    1.3296613878   0.7846760343   
  23727   23727   76.5133987627    80.2478477227    1.3354107303   1.4005891604   
  23734   23734   76.535249402     58.9723909643    1.3357920959   1.0292623901   
  23883   23883   76.9809784982    21.7048359768    1.3435715362   0.3788208514   
  23921   23921   77.1102313023    -40.9124542423   1.3458274232   -0.7140570316  
  23972   23972   77.2865958362    -8.754075996     1.348905565    -0.1527874491  
  24029   24029   77.4851400075    37.0044528425    1.3523708145   0.64584954     
  24118   24118   77.7008448779    41.0029030845    1.3561355747   0.7156356617   
  24201   24201   77.9288663125    42.1653584938    1.3601152995   0.735924336    
  24238   24238   78.0603980735    41.2152249656    1.3624109618   0.7193413776   
  24326   24326   78.3055562117    40.1935412587    1.3666897785   0.701509633    
  24672   24672   79.3986747725    33.5935000992    1.3857682965   0.586317184    
  24724   24724   79.5424073431    37.6501420319    1.3882769031   0.6571189423   
